DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;QT_VOTOS_LEGENDA
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71455;SOROCABA;71455;SOROCABA;137;13;Vereador;Partido isolado;18;REDE;Rede Sustentabilidade;2,5E+11;PARTIDO ISOLADO;REDE;N;453;19
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;69230;PRESIDENTE ALVES;69230;PRESIDENTE ALVES;95;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;283;11
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;70831;SÃO JOÃO DA BOA VISTA;70831;SÃO JOÃO DA BOA VISTA;122;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;2611;43
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;61794;ASSIS;61794;ASSIS;15;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;2269;23
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;70793;SÃO CARLOS;70793;SÃO CARLOS;121;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;599;76
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;64750;GUARUJÁ;64750;GUARUJÁ;212;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;5161;196
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;72370;VINHEDO;72370;VINHEDO;345;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;4435;301
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;373;13;Vereador;Partido isolado;21;PCB;Partido Comunista Brasileiro;2,5E+11;PARTIDO ISOLADO;PCB;N;30;25
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;375;13;Vereador;Partido isolado;20;PSC;Partido Social Cristão;2,5E+11;PARTIDO ISOLADO;PSC;N;1959;77
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;371;13;Vereador;Partido isolado;21;PCB;Partido Comunista Brasileiro;2,5E+11;PARTIDO ISOLADO;PCB;N;21;26
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71455;SOROCABA;71455;SOROCABA;356;13;Vereador;Partido isolado;22;PL;Partido Liberal;2,5E+11;PARTIDO ISOLADO;PL;N;2371;116
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;398;13;Vereador;Partido isolado;21;PCB;Partido Comunista Brasileiro;2,5E+11;PARTIDO ISOLADO;PCB;N;16;19
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;422;13;Vereador;Partido isolado;21;PCB;Partido Comunista Brasileiro;2,5E+11;PARTIDO ISOLADO;PCB;N;45;23
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62952;CAMPOS DO JORDÃO;62952;CAMPOS DO JORDÃO;35;13;Vereador;Partido isolado;22;PL;Partido Liberal;2,5E+11;PARTIDO ISOLADO;PL;N;226;128
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;258;13;Vereador;Partido isolado;22;PL;Partido Liberal;2,5E+11;PARTIDO ISOLADO;PL;N;1653;78
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71919;TIETÊ;71919;TIETÊ;142;13;Vereador;Partido isolado;22;PL;Partido Liberal;2,5E+11;PARTIDO ISOLADO;PL;N;1605;27
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;64459;GUAIÇARA;64459;GUAIÇARA;297;13;Vereador;Partido isolado;23;CIDADANIA;Cidadania;2,5E+11;PARTIDO ISOLADO;CIDADANIA;N;777;7
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;257;13;Vereador;Partido isolado;23;CIDADANIA;Cidadania;2,5E+11;PARTIDO ISOLADO;CIDADANIA;N;1237;54
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;70998;SÃO JOSÉ DOS CAMPOS;70998;SÃO JOSÉ DOS CAMPOS;127;13;Vereador;Partido isolado;23;CIDADANIA;Cidadania;2,5E+11;PARTIDO ISOLADO;CIDADANIA;N;4606;65
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71293;SERRA AZUL;71293;SERRA AZUL;109;13;Vereador;Partido isolado;23;CIDADANIA;Cidadania;2,5E+11;PARTIDO ISOLADO;CIDADANIA;N;1234;95
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;70572;SANTO ANDRÉ;70572;SANTO ANDRÉ;383;13;Vereador;Partido isolado;23;CIDADANIA;Cidadania;2,5E+11;PARTIDO ISOLADO;CIDADANIA;N;3148;58
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;70777;SÃO CAETANO DO SUL;70777;SÃO CAETANO DO SUL;269;13;Vereador;Partido isolado;23;CIDADANIA;Cidadania;2,5E+11;PARTIDO ISOLADO;CIDADANIA;N;6478;73
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;61832;AURIFLAMA;61832;AURIFLAMA;225;13;Vereador;Partido isolado;25;DEM;Democratas;2,5E+11;PARTIDO ISOLADO;DEM;N;1140;9
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;67172;MOGI MIRIM;67172;MOGI MIRIM;75;13;Vereador;Partido isolado;25;DEM;Democratas;2,5E+11;PARTIDO ISOLADO;DEM;N;4641;90
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;68730;PIRACAIA;68730;PIRACAIA;92;13;Vereador;Partido isolado;25;DEM;Democratas;2,5E+11;PARTIDO ISOLADO;DEM;N;1535;195
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62316;BIRITIBA MIRIM;62316;BIRITIBA MIRIM;319;13;Vereador;Partido isolado;25;DEM;Democratas;2,5E+11;PARTIDO ISOLADO;DEM;N;839;7
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;66559;LUIZIÂNIA;66559;LUIZIÂNIA;289;13;Vereador;Partido isolado;25;DEM;Democratas;2,5E+11;PARTIDO ISOLADO;DEM;N;1645;105
